Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-29 23:51:18.019,114253.2,0.013,BTCUSDT
2025-09-29 23:51:18.124,114253.2,0.003,BTCUSDT
2025-09-29 23:51:18.249,114253.2,0.007,BTCUSDT
2025-09-29 23:51:18.363,114253.2,0.025,BTCUSDT
2025-09-29 23:51:18.380,114253.2,0.003,BTCUSDT
2025-09-29 23:51:18.399,114253.3,0.02,BTCUSDT
2025-09-29 23:51:18.474,114253.2,0.011,BTCUSDT
2025-09-29 23:51:18.528,114253.2,0.026,BTCUSDT
2025-09-29 23:51:18.680,114253.2,0.001,BTCUSDT
2025-09-29 23:51:18.770,114253.3,0.018,BTCUSDT
2025-09-29 23:51:19.194,114253.2,0.002,BTCUSDT
2025-09-29 23:51:19.340,114253.3,0.02,BTCUSDT
2025-09-29 23:51:19.382,114253.2,0.014,BTCUSDT
2025-09-29 23:51:19.587,114253.2,0.001,BTCUSDT
2025-09-29 23:51:19.611,114253.2,0.003,BTCUSDT
2025-09-29 23:51:19.896,114253.2,0.005,BTCUSDT
2025-09-29 23:51:20.109,114253.3,0.021,BTCUSDT
2025-09-29 23:51:20.407,114253.3,0.02,BTCUSDT
2025-09-29 23:51:20.822,114253.3,0.001,BTCUSDT
2025-09-29 23:51:20.923,114253.2,0.008,BTCUSDT
2025-09-29 23:51:20.953,114253.2,0.004,BTCUSDT
2025-09-29 23:51:21.294,114253.3,0.001,BTCUSDT
2025-09-29 23:51:21.295,114253.2,0.032,BTCUSDT
2025-09-29 23:51:21.431,114253.3,0.02,BTCUSDT
2025-09-29 23:51:21.668,114253.2,0.003,BTCUSDT
2025-09-29 23:51:21.794,114253.3,0.026,BTCUSDT
2025-09-29 23:51:21.803,114253.2,0.02,BTCUSDT
2025-09-29 23:51:21.997,114253.2,0.012,BTCUSDT
2025-09-29 23:51:22.182,114253.2,0.001,BTCUSDT
2025-09-29 23:51:22.463,114253.2,0.001,BTCUSDT
2025-09-29 23:51:22.477,114253.3,0.02,BTCUSDT
2025-09-29 23:51:22.539,114253.2,0.37,BTCUSDT
2025-09-29 23:51:22.657,114253.2,0.004,BTCUSDT
2025-09-29 23:51:23.039,114253.3,0.113,BTCUSDT
2025-09-29 23:51:23.464,114253.3,0.02,BTCUSDT
2025-09-29 23:51:23.621,114253.2,0.001,BTCUSDT
2025-09-29 23:51:23.624,114253.2,0.001,BTCUSDT
2025-09-29 23:51:23.803,114253.3,0.011,BTCUSDT
2025-09-29 23:51:24.009,114253.3,0.002,BTCUSDT
2025-09-29 23:51:24.422,114253.3,0.02,BTCUSDT
2025-09-29 23:51:24.615,114253.2,0.001,BTCUSDT
2025-09-29 23:51:24.615,114253.2,0.018,BTCUSDT
2025-09-29 23:51:24.725,114253.3,0.001,BTCUSDT
2025-09-29 23:51:25.093,114253.2,0.052,BTCUSDT
2025-09-29 23:51:25.093,114253.2,0.003,BTCUSDT
2025-09-29 23:51:25.093,114253.2,0.087,BTCUSDT
2025-09-29 23:51:25.093,114253.2,0.087,BTCUSDT
2025-09-29 23:51:25.093,114253.2,0.001,BTCUSDT
2025-09-29 23:51:25.093,114253.2,0.087,BTCUSDT
2025-09-29 23:51:25.093,114253.2,0.183,BTCUSDT
2025-09-29 23:51:25.475,114253.3,0.02,BTCUSDT
2025-09-29 23:51:25.565,114253.2,0.022,BTCUSDT
2025-09-29 23:51:25.675,114253.2,0.013,BTCUSDT
2025-09-29 23:51:25.677,114253.2,0.001,BTCUSDT
2025-09-29 23:51:25.678,114253.2,0.002,BTCUSDT
2025-09-29 23:51:25.787,114253.2,0.005,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.051,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.1,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.001,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.001,BTCUSDT
2025-09-29 23:51:25.974,114253.2,0.001,BTCUSDT
